Date Saved,2017/11/11 13:08:24
Title,Sun-Ref_04_5305K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5305
⊿uv,0.0026
Illuminance [lx],118000

Reference CCT [K],6500
LB Index [MK⁻¹],-35
LB Camera Filter,82B, 82
LB Lighting Filter,L203 1/4 CTB
CC Index,0.2M
CC Camera Filter,CC025M
CC Lighting Filter,L279 1/8 MINUS G
CRI Ra,99.6
CRI R1,99.8
CRI R2,99.7
CRI R3,99.5
CRI R4,99.8
CRI R5,99.8
CRI R6,99.5
CRI R7,99.5
CRI R8,99.3
CRI R9,98.4
CRI R10,99.3
CRI R11,99.6
CRI R12,98.5
CRI R13,99.7
CRI R14,99.7
CRI R15,99.7
