Date Saved,2018/03/10 20:40:25
Title,CCCx4-80WB_05_2985K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],2985
⊿uv,-0.0034
Illuminance [lx],33100

Reference CCT [K],3000
LB Index [MK⁻¹],-2
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.3G
CC Camera Filter,CC05G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,82.2
CRI R1,83.2
CRI R2,96.8
CRI R3,88.2
CRI R4,77.8
CRI R5,84.1
CRI R6,94.3
CRI R7,77.3
CRI R8,55.6
CRI R9,7.5
CRI R10,92.8
CRI R11,77.7
CRI R12,76.0
CRI R13,87.3
CRI R14,94.1
CRI R15,75.4
